160;688
160,121;668
160,121,86;670
160,121,86,13;709
160,121,86,13,377;681
160,121,86,13,377,84;671
160,121,86,13,377,84,498;706
160,121,86,13,377,84,498,5;751
160,121,86,13,377,84,498,5,107;747
160,121,86,13,377,84,498,5,107,971;725
160,121,86,13,377,84,498,5,107,971,211;745
160,121,86,13,377,84,498,5,107,971,211,820;689
160,121,86,13,377,84,498,5,107,971,211,820,65;711
160,121,86,13,377,84,498,5,107,971,211,820,65,17;742
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96;741
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96,6;738
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96,6,141;740
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96,6,141,114;717
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96,6,141,114,295;751
160,121,86,13,377,84,498,5,107,971,211,820,65,17,96,6,141,114,295,82;719
